refund_id,order_item_id,refund_amount_usd,refund_date
130,9392,23.35,2026-01-21
131,25411,49.26,2026-01-21
132,23785,18.88,2026-01-21
133,11712,26.65,2026-01-21
134,14534,39.87,2026-01-21
135,8693,39.50,2026-01-21
136,39801,24.10,2026-01-21
137,34660,29.63,2026-01-21
138,9819,47.87,2026-01-21
139,15538,27.35,2026-01-21
140,19805,32.44,2026-01-21
141,20950,31.79,2026-01-21
142,24850,26.04,2026-01-21
143,36315,22.95,2026-01-21
144,33180,16.29,2026-01-21
145,28281,13.83,2026-01-21
146,20780,31.21,2026-01-21
147,2867,43.44,2026-01-21
148,19902,41.67,2026-01-21
149,35169,23.69,2026-01-21
150,28169,19.67,2026-01-21
151,2325,26.11,2026-01-21
152,30109,27.56,2026-01-21
153,36903,51.52,2026-01-21
154,7016,38.70,2026-01-21
155,20859,21.81,2026-01-21
156,37075,35.51,2026-01-21
157,30283,34.46,2026-01-21
158,15074,36.76,2026-01-21
159,39725,24.97,2026-01-21
160,38264,47.42,2026-01-21
161,37278,27.97,2026-01-21
162,18654,23.55,2026-01-21
163,10085,27.78,2026-01-21
164,7316,32.54,2026-01-21
165,4316,39.97,2026-01-21
166,3625,48.44,2026-01-21
167,6044,15.34,2026-01-21
168,22922,27.90,2026-01-21
169,3008,44.53,2026-01-21
170,10027,26.95,2026-01-21
171,16244,40.06,2026-01-21
172,34751,18.61,2026-01-21
173,16424,27.97,2026-01-21
174,31912,49.31,2026-01-21
175,39653,33.78,2026-01-21
176,28130,20.94,2026-01-21
177,15615,15.58,2026-01-21
178,37907,43.91,2026-01-21
179,13593,31.53,2026-01-21
180,10951,43.82,2026-01-21
181,37105,21.26,2026-01-21
182,15495,14.05,2026-01-21
183,685,22.72,2026-01-21
184,34547,15.83,2026-01-21
185,573,28.82,2026-01-21
186,28201,43.93,2026-01-21
187,17843,22.30,2026-01-21
188,5560,38.73,2026-01-21
189,29365,36.62,2026-01-21
190,24269,37.85,2026-01-21
191,15902,37.98,2026-01-21
192,4843,35.94,2026-01-21
193,35120,31.50,2026-01-21
194,20514,37.26,2026-01-21
195,39954,48.65,2026-01-21
196,19715,9.88,2026-01-21
197,23008,26.03,2026-01-21
198,37660,42.20,2026-01-21
199,2869,37.50,2026-01-21
200,34010,17.85,2026-01-21
201,1989,22.41,2026-01-21
202,13699,37.26,2026-01-21
203,33497,27.45,2026-01-21
204,26359,14.59,2026-01-21
205,19767,34.64,2026-01-21
206,27247,35.06,2026-01-21
207,1372,38.86,2026-01-21
208,14948,27.86,2026-01-21
209,16624,41.31,2026-01-21
210,7253,34.56,2026-01-21
211,28777,29.76,2026-01-21
212,12468,9.80,2026-01-21
213,31631,31.95,2026-01-21
214,10393,49.77,2026-01-21
215,2221,30.63,2026-01-21
216,606,23.67,2026-01-21
217,12962,27.19,2026-01-21
218,10610,36.03,2026-01-21
219,19274,34.15,2026-01-21
220,25654,16.43,2026-01-21
221,36059,44.56,2026-01-21
222,15025,19.81,2026-01-21
223,39699,48.75,2026-01-21
224,576,40.81,2026-01-21
225,661,40.72,2026-01-21
226,4079,46.99,2026-01-21
227,28188,25.70,2026-01-21
228,30670,33.47,2026-01-21
229,3054,37.76,2026-01-21
230,32432,18.25,2026-01-21
231,17750,34.94,2026-01-21
232,39142,43.06,2026-01-21
233,24283,15.47,2026-01-21
234,2600,42.90,2026-01-21
235,33627,45.32,2026-01-21
236,12377,18.64,2026-01-21
237,20944,14.69,2026-01-21
238,1692,22.29,2026-01-21
239,39259,25.14,2026-01-21
240,31208,23.12,2026-01-21
241,7981,43.21,2026-01-21
242,23180,30.07,2026-01-21
243,29553,48.03,2026-01-21
244,1070,31.52,2026-01-21
245,32572,38.04,2026-01-21
246,25529,34.67,2026-01-21
247,3606,27.52,2026-01-21
248,32465,27.10,2026-01-21
249,5287,47.67,2026-01-21
250,28100,45.98,2026-01-21
251,19351,35.07,2026-01-21
252,36512,34.55,2026-01-21
253,2817,42.39,2026-01-21
254,5964,29.26,2026-01-21
255,34497,24.40,2026-01-21
256,29650,41.30,2026-01-21
257,9558,39.66,2026-01-21
258,22342,29.64,2026-01-21
259,8485,49.19,2026-01-21
260,12553,27.98,2026-01-21
261,36412,25.53,2026-01-21
262,1083,33.56,2026-01-21
263,29386,44.52,2026-01-21
264,25645,34.00,2026-01-21
265,27986,25.60,2026-01-21
266,21904,40.15,2026-01-21
267,21021,43.32,2026-01-21
268,12160,18.79,2026-01-21
269,19370,26.08,2026-01-21
270,31077,20.55,2026-01-21
271,8887,43.36,2026-01-21
272,32992,23.50,2026-01-21
273,16782,42.14,2026-01-21
274,12201,34.74,2026-01-21
275,6403,27.53,2026-01-21
276,37903,21.52,2026-01-21
277,8118,21.99,2026-01-21
278,31635,27.09,2026-01-21
279,16217,19.68,2026-01-21
280,23019,28.67,2026-01-21
281,30672,29.11,2026-01-21
282,39885,27.87,2026-01-21
283,30020,40.58,2026-01-21
284,27118,40.69,2026-01-21
285,16888,12.93,2026-01-21
286,21342,21.86,2026-01-21
287,38286,23.84,2026-01-21
288,19799,40.01,2026-01-21
289,29561,47.49,2026-01-21
290,13304,21.46,2026-01-21
291,424,37.65,2026-01-21
292,5296,35.41,2026-01-21
293,32899,30.88,2026-01-21
294,25191,57.73,2026-01-21
295,28867,41.04,2026-01-21
296,20823,47.42,2026-01-21
297,38383,28.21,2026-01-21
298,27727,24.48,2026-01-21
299,3578,19.74,2026-01-21
300,39438,24.00,2026-01-21
301,32110,16.59,2026-01-21
302,4151,32.75,2026-01-21
303,2382,15.21,2026-01-21
304,8990,31.97,2026-01-21
305,24503,15.24,2026-01-21
306,10454,34.92,2026-01-21
307,26104,40.23,2026-01-21
308,27496,34.50,2026-01-21
309,24463,17.61,2026-01-21
310,37688,40.38,2026-01-21
311,22165,38.40,2026-01-21
312,8297,34.71,2026-01-21
313,22534,19.22,2026-01-21
314,29591,17.24,2026-01-21
315,6645,32.66,2026-01-21
316,39341,20.87,2026-01-21
317,1206,32.35,2026-01-21
318,1388,20.51,2026-01-21
319,820,23.59,2026-01-21
320,19645,21.89,2026-01-21
321,28875,45.68,2026-01-21
322,1565,19.43,2026-01-21
323,21264,34.73,2026-01-21
324,28747,38.25,2026-01-21
325,28523,30.17,2026-01-21
326,6649,17.72,2026-01-21
327,39029,37.13,2026-01-21
328,23048,29.55,2026-01-21
329,4119,40.37,2026-01-21
330,17121,32.37,2026-01-21
331,39675,15.00,2026-01-21
332,30728,36.11,2026-01-21
333,24555,24.36,2026-01-21
334,30301,14.56,2026-01-21
335,18532,40.75,2026-01-21
336,10090,25.95,2026-01-21
337,9349,35.72,2026-01-21
338,29043,30.72,2026-01-21
339,3703,30.22,2026-01-21
340,15449,40.74,2026-01-21
341,38297,20.15,2026-01-21
342,10635,27.43,2026-01-21
343,20323,28.79,2026-01-21
344,13412,28.12,2026-01-21
345,27373,38.94,2026-01-21
346,20436,40.47,2026-01-21
347,25276,45.28,2026-01-21
348,4849,45.95,2026-01-21
349,23266,39.15,2026-01-21
350,1156,30.03,2026-01-21
351,10064,36.15,2026-01-21
352,31222,37.00,2026-01-21
353,30018,21.05,2026-01-21
354,10819,30.50,2026-01-21
355,26447,23.72,2026-01-21
356,27107,33.01,2026-01-21
357,918,37.10,2026-01-21
358,9059,23.34,2026-01-21
359,35760,30.67,2026-01-21
360,5454,30.68,2026-01-21
361,30413,17.20,2026-01-21
362,3791,44.52,2026-01-21
363,21407,20.85,2026-01-21
364,25764,28.06,2026-01-21
365,7285,16.74,2026-01-21
366,5460,32.90,2026-01-21
367,20947,44.82,2026-01-21
368,8246,30.98,2026-01-21
369,19322,35.71,2026-01-21
370,32466,13.72,2026-01-21
371,4479,20.74,2026-01-21
372,37612,25.58,2026-01-21
373,25487,18.71,2026-01-21
374,3513,47.92,2026-01-21
375,7580,25.87,2026-01-21
376,23727,26.79,2026-01-21
377,634,45.48,2026-01-21
378,19718,17.42,2026-01-21
379,7005,20.97,2026-01-21
380,21153,45.46,2026-01-21
381,27219,33.07,2026-01-21
382,30329,45.55,2026-01-21
383,17071,18.39,2026-01-21
384,17520,18.83,2026-01-21
385,26490,24.84,2026-01-21
386,33962,48.50,2026-01-21
387,38749,23.86,2026-01-21
388,14362,27.42,2026-01-21
389,11537,42.00,2026-01-21
390,2403,18.43,2026-01-21
391,23650,23.87,2026-01-21
392,13953,43.48,2026-01-21
393,39021,9.49,2026-01-21
394,21278,43.12,2026-01-21
395,28398,30.11,2026-01-21
396,3230,48.00,2026-01-21
397,20398,16.87,2026-01-21
398,14282,25.18,2026-01-21
399,5874,42.11,2026-01-21
400,39346,15.36,2026-01-21
401,24777,24.68,2026-01-21
402,27751,28.98,2026-01-21
403,37063,45.32,2026-01-21
404,24124,25.66,2026-01-21
405,30706,37.79,2026-01-21
406,22954,48.62,2026-01-21
407,31883,15.34,2026-01-21
408,35521,28.50,2026-01-21
409,433,42.97,2026-01-21
410,3174,55.72,2026-01-21
411,22090,44.81,2026-01-21
412,330,25.55,2026-01-21
413,30638,19.08,2026-01-21
414,6270,49.91,2026-01-21
415,25377,17.44,2026-01-21
416,12565,32.25,2026-01-21
417,9148,24.66,2026-01-21
418,976,32.13,2026-01-21
419,22682,24.08,2026-01-21
420,18566,36.85,2026-01-21
421,20955,45.10,2026-01-21
422,33839,31.71,2026-01-21
423,6689,45.79,2026-01-21
424,31739,26.41,2026-01-21
425,26599,16.61,2026-01-21
426,27763,35.48,2026-01-21
427,37793,44.68,2026-01-21
428,26352,34.21,2026-01-21
429,19654,28.00,2026-01-21
430,33095,17.57,2026-01-21
431,186,49.85,2026-01-21
432,9989,35.62,2026-01-21
433,9416,31.44,2026-01-21
434,22336,34.88,2026-01-21
435,17875,23.69,2026-01-21
436,12960,34.28,2026-01-21
437,8241,47.84,2026-01-21
438,35842,52.64,2026-01-21
439,34663,21.33,2026-01-21
440,6666,41.45,2026-01-21
441,15628,24.68,2026-01-21
442,15561,47.07,2026-01-21
443,11747,22.64,2026-01-21
444,5679,42.72,2026-01-21
445,2556,29.53,2026-01-21
446,7887,44.54,2026-01-21
447,37097,39.54,2026-01-21
448,5478,22.56,2026-01-21
449,3152,50.14,2026-01-21
450,19437,46.73,2026-01-21
451,7129,34.88,2026-01-21
452,35400,26.99,2026-01-21
453,26937,32.48,2026-01-21
454,36034,24.15,2026-01-21
455,11288,49.28,2026-01-21
456,4877,34.22,2026-01-21
457,14793,14.44,2026-01-21
458,35020,42.43,2026-01-21
459,27310,15.56,2026-01-21
460,27088,43.11,2026-01-21
461,17983,42.26,2026-01-21
462,26343,49.19,2026-01-21
463,37030,27.07,2026-01-21
464,38055,37.21,2026-01-21
465,9144,39.32,2026-01-21
466,814,27.46,2026-01-21
467,31451,37.97,2026-01-21
468,18780,47.05,2026-01-21
469,39757,16.08,2026-01-21
470,15400,35.15,2026-01-21
471,21284,27.46,2026-01-21
472,25419,24.49,2026-01-21
473,17386,17.59,2026-01-21
474,32688,23.19,2026-01-21
475,39254,17.32,2026-01-21
476,17299,33.46,2026-01-21
477,7166,26.33,2026-01-21
478,13819,30.58,2026-01-21
479,17880,27.36,2026-01-21
480,7125,26.20,2026-01-21
481,23110,43.17,2026-01-21
482,32913,26.93,2026-01-21
483,5020,35.25,2026-01-21
484,33657,36.26,2026-01-21
485,8671,41.42,2026-01-21
486,13016,46.28,2026-01-21
487,13662,34.37,2026-01-21
488,20960,42.33,2026-01-21
489,35306,41.56,2026-01-21
490,30525,42.65,2026-01-21
491,7817,33.22,2026-01-21
492,35533,25.54,2026-01-21
493,9498,49.77,2026-01-21
494,559,39.41,2026-01-21
495,5241,46.73,2026-01-21
496,2342,36.48,2026-01-21
497,12532,16.90,2026-01-21
498,12066,13.69,2026-01-21
499,38904,28.62,2026-01-21
500,1026,40.71,2026-01-21
501,1785,22.62,2026-01-21
502,21887,41.42,2026-01-21
503,12147,47.87,2026-01-21
504,14974,44.75,2026-01-21
505,10859,22.04,2026-01-21
506,8298,20.82,2026-01-21
507,23821,56.39,2026-01-21
508,24944,13.06,2026-01-21
509,29356,36.58,2026-01-21
510,8446,46.97,2026-01-21
511,35902,41.47,2026-01-21
512,795,33.38,2026-01-21
513,22154,44.84,2026-01-21
514,37253,37.26,2026-01-21
515,23711,43.46,2026-01-21
516,28925,30.83,2026-01-21
517,24430,47.24,2026-01-21
518,27199,45.60,2026-01-21
519,39718,44.57,2026-01-21
520,2203,48.65,2026-01-21
521,5708,23.96,2026-01-21
522,9592,41.57,2026-01-21
523,38090,33.71,2026-01-21
524,27168,45.58,2026-01-21
525,29186,18.95,2026-01-21
526,28708,42.64,2026-01-21
527,39456,19.53,2026-01-21
528,39106,40.74,2026-01-21
529,8248,25.51,2026-01-21
530,31059,37.50,2026-01-21
531,29255,20.55,2026-01-21
532,24988,54.77,2026-01-21
533,1279,43.12,2026-01-21
534,22101,38.59,2026-01-21
535,10991,28.08,2026-01-21
536,7667,45.83,2026-01-21
537,17229,9.21,2026-01-21
538,11865,46.86,2026-01-21
539,29659,29.44,2026-01-21
540,19900,15.27,2026-01-21
541,160,32.62,2026-01-21
542,22223,42.51,2026-01-21
543,34350,23.28,2026-01-21
544,35108,45.23,2026-01-21
545,14348,23.85,2026-01-21
546,30441,49.36,2026-01-21
547,23801,40.61,2026-01-21
548,1798,40.90,2026-01-21
549,22386,47.60,2026-01-21
550,339,17.94,2026-01-21
551,38449,39.70,2026-01-21
552,16838,27.42,2026-01-21
553,10128,37.81,2026-01-21
554,31904,41.22,2026-01-21
555,2577,42.62,2026-01-21
556,37925,34.92,2026-01-21
557,23911,22.82,2026-01-21
558,4592,21.67,2026-01-21
559,39510,24.06,2026-01-21
560,11071,27.24,2026-01-21
561,22447,47.12,2026-01-21
562,3834,38.37,2026-01-21
563,12654,27.50,2026-01-21
564,29551,27.60,2026-01-21
565,4011,21.55,2026-01-21
566,24499,24.65,2026-01-21
567,19977,27.18,2026-01-21
568,26462,21.38,2026-01-21
569,31826,46.12,2026-01-21
570,33852,48.86,2026-01-21
571,5899,46.49,2026-01-21
572,23343,22.67,2026-01-21
573,10192,39.50,2026-01-21
574,21874,35.63,2026-01-21
575,20454,15.79,2026-01-21
576,17740,44.93,2026-01-21
577,25310,33.97,2026-01-21
578,24083,43.61,2026-01-21
579,33922,28.66,2026-01-21
580,18715,31.56,2026-01-21
581,37009,26.28,2026-01-21
582,32697,41.03,2026-01-21
583,1314,27.13,2026-01-21
584,34224,21.88,2026-01-21
585,14638,14.79,2026-01-21
586,34379,19.49,2026-01-21
587,33196,18.77,2026-01-21
588,34610,13.69,2026-01-21
589,26075,37.44,2026-01-21
590,3557,16.12,2026-01-21
591,28444,28.67,2026-01-21
592,3469,16.65,2026-01-21
593,19724,33.87,2026-01-21
594,17581,14.82,2026-01-21
595,39174,43.99,2026-01-21
596,30734,47.25,2026-01-21
597,31045,10.00,2026-01-21
598,2766,48.53,2026-01-21
599,31683,27.94,2026-01-21
600,14162,15.50,2026-01-21
601,16210,44.85,2026-01-21
602,24748,27.82,2026-01-21
603,35992,18.03,2026-01-21
604,11129,41.76,2026-01-21
605,4832,28.85,2026-01-21
606,35404,30.66,2026-01-21
607,3826,25.52,2026-01-21
608,3690,43.66,2026-01-21
609,1707,15.38,2026-01-21
610,18667,31.43,2026-01-21
611,27485,29.44,2026-01-21
612,2211,41.38,2026-01-21
613,36565,27.16,2026-01-21
614,14247,43.57,2026-01-21
615,5538,36.39,2026-01-21
616,16999,26.47,2026-01-21
617,6586,29.84,2026-01-21
618,26891,39.59,2026-01-21
619,21265,25.93,2026-01-21
620,1904,34.40,2026-01-21
621,31489,46.94,2026-01-21
622,36977,27.46,2026-01-21
623,27790,29.48,2026-01-21
624,34630,24.19,2026-01-21
625,2207,16.44,2026-01-21
626,30557,9.56,2026-01-21
627,36680,20.12,2026-01-21
628,29167,46.24,2026-01-21
629,25615,27.98,2026-01-21
630,39623,41.16,2026-01-21
631,18786,16.12,2026-01-21
632,24370,34.13,2026-01-21
633,11338,18.31,2026-01-21
634,4760,48.45,2026-01-21
635,39730,25.10,2026-01-21
636,38047,28.63,2026-01-21
637,33155,38.76,2026-01-21
638,2572,37.18,2026-01-21
639,21467,34.77,2026-01-21
640,24568,17.12,2026-01-21
641,484,34.62,2026-01-21
642,3772,16.09,2026-01-21
643,33668,20.68,2026-01-21
644,12538,44.52,2026-01-21
645,13630,39.19,2026-01-21
646,4353,28.86,2026-01-21
647,29266,17.82,2026-01-21
648,34950,22.50,2026-01-21
649,30255,19.77,2026-01-21
650,23510,48.21,2026-01-21
651,24903,26.52,2026-01-21
652,1004,29.25,2026-01-21
653,22721,29.96,2026-01-21
654,3138,50.85,2026-01-21
655,26532,45.40,2026-01-21
656,26105,15.95,2026-01-21
657,34792,56.28,2026-01-21
658,29086,46.38,2026-01-21
659,31947,46.81,2026-01-21
660,2748,41.89,2026-01-21
661,9559,26.97,2026-01-21
662,38556,13.97,2026-01-21
663,20516,31.48,2026-01-21
664,22814,31.17,2026-01-21
665,35755,25.98,2026-01-21
666,32731,32.23,2026-01-21
667,3428,31.89,2026-01-21
668,9691,43.96,2026-01-21
669,32585,22.16,2026-01-21
670,2650,20.70,2026-01-21
671,31065,19.35,2026-01-21
672,19913,55.53,2026-01-21
673,35048,27.59,2026-01-21
674,24465,44.30,2026-01-21
675,26299,49.23,2026-01-21
676,6022,29.97,2026-01-21
677,32123,38.45,2026-01-21
678,32408,35.10,2026-01-21
679,23192,20.53,2026-01-21
680,16834,31.48,2026-01-21
681,7646,39.63,2026-01-21
682,15177,21.01,2026-01-21
683,22171,30.18,2026-01-21
684,36592,39.33,2026-01-21
685,35699,14.62,2026-01-21
686,33906,10.94,2026-01-21
687,24697,14.42,2026-01-21
688,23607,41.16,2026-01-21
689,25005,29.00,2026-01-21
690,37360,39.96,2026-01-21
691,26971,23.67,2026-01-21
692,37663,32.61,2026-01-21
693,10961,40.56,2026-01-21
694,30462,31.14,2026-01-21
695,37792,26.14,2026-01-21
696,1953,15.90,2026-01-21
697,3838,25.39,2026-01-21
698,4529,27.54,2026-01-21
699,27874,13.30,2026-01-21
700,14985,19.30,2026-01-21
701,32598,25.97,2026-01-21
702,13673,14.30,2026-01-21
703,28535,52.71,2026-01-21
704,28789,19.39,2026-01-21
705,17871,35.28,2026-01-21
706,20700,18.97,2026-01-21
707,34481,49.55,2026-01-21
708,19360,16.49,2026-01-21
709,26087,36.70,2026-01-21
710,32737,40.89,2026-01-21
711,8494,26.27,2026-01-21
712,19326,18.27,2026-01-21
713,1754,19.16,2026-01-21
714,29615,33.15,2026-01-21
715,22691,35.13,2026-01-21
716,23304,28.36,2026-01-21
717,16130,51.16,2026-01-21
718,24477,18.44,2026-01-21
719,16872,22.24,2026-01-21
720,17388,29.02,2026-01-21
721,23965,16.05,2026-01-21
722,20305,46.17,2026-01-21
723,33501,23.28,2026-01-21
724,29399,17.72,2026-01-21
725,27826,19.13,2026-01-21
726,23174,53.21,2026-01-21
727,24475,19.90,2026-01-21
728,32813,28.44,2026-01-21
729,32974,42.73,2026-01-21
730,27757,21.34,2026-01-21
731,30348,16.11,2026-01-21
732,21857,28.49,2026-01-21
733,7548,18.64,2026-01-21
734,19971,33.77,2026-01-21
735,8020,16.52,2026-01-21
736,35960,39.83,2026-01-21
737,32060,32.65,2026-01-21
738,27583,20.22,2026-01-21
739,24559,38.10,2026-01-21
740,6648,51.74,2026-01-21
741,18288,32.76,2026-01-21
742,36474,45.30,2026-01-21
743,18600,27.02,2026-01-21
744,277,34.81,2026-01-21
745,15455,9.00,2026-01-21
746,14743,43.23,2026-01-21
747,18838,13.19,2026-01-21
748,28714,49.78,2026-01-21
749,37605,13.82,2026-01-21
750,33694,23.60,2026-01-21
751,12279,39.69,2026-01-21
752,33555,16.12,2026-01-21
753,3547,42.51,2026-01-21
754,34365,18.70,2026-01-21
755,31716,39.80,2026-01-21
756,22944,41.39,2026-01-21
757,8832,49.14,2026-01-21
758,5950,23.05,2026-01-21
759,37255,44.60,2026-01-21
760,38395,20.12,2026-01-21
761,7995,40.42,2026-01-21
762,36485,20.99,2026-01-21
763,38350,41.10,2026-01-21
764,17915,23.98,2026-01-21
765,13684,39.12,2026-01-21
766,14765,47.05,2026-01-21
767,17864,35.49,2026-01-21
768,27994,13.87,2026-01-21
769,18166,39.89,2026-01-21
770,37971,27.23,2026-01-21
771,29263,10.57,2026-01-21
772,1292,38.51,2026-01-21
773,21395,44.66,2026-01-21
774,16351,46.75,2026-01-21
775,33503,27.71,2026-01-21
776,19406,38.44,2026-01-21
777,9071,19.83,2026-01-21
778,17328,27.80,2026-01-21
779,748,32.33,2026-01-21
780,3066,34.02,2026-01-21
781,19217,17.69,2026-01-21
782,16468,36.08,2026-01-21
783,19261,29.37,2026-01-21
784,26519,23.57,2026-01-21
785,7446,27.72,2026-01-21
786,449,48.07,2026-01-21
787,12505,22.07,2026-01-21
788,5412,21.24,2026-01-21
789,36238,55.95,2026-01-21
790,1262,15.67,2026-01-21
791,21535,36.91,2026-01-21
792,37204,24.28,2026-01-21
793,167,20.48,2026-01-21
794,38246,36.31,2026-01-21
795,26920,15.21,2026-01-21
796,27228,23.46,2026-01-21
797,2990,15.20,2026-01-21
798,24550,46.88,2026-01-21
799,27239,49.17,2026-01-21
800,25281,37.45,2026-01-21
801,24411,42.90,2026-01-21
802,30929,21.23,2026-01-21
803,20839,24.49,2026-01-21
804,25649,30.68,2026-01-21
805,8789,20.47,2026-01-21
806,8408,21.00,2026-01-21
807,21726,22.54,2026-01-21
808,3882,53.20,2026-01-21
809,12240,27.42,2026-01-21
810,35627,33.28,2026-01-21
811,18020,43.46,2026-01-21
812,16243,39.43,2026-01-21
813,19198,45.20,2026-01-21
814,11549,15.83,2026-01-21
815,32521,23.65,2026-01-21
816,14828,35.99,2026-01-21
817,9041,34.00,2026-01-21
818,25821,16.06,2026-01-21
819,24419,35.86,2026-01-21
820,2672,16.82,2026-01-21
821,16893,42.84,2026-01-21
822,32923,49.10,2026-01-21
823,31510,18.88,2026-01-21
824,20068,34.18,2026-01-21
825,8060,39.60,2026-01-21
826,38135,19.99,2026-01-21
827,38283,34.26,2026-01-21
828,15024,28.44,2026-01-21
829,35478,25.98,2026-01-21
830,38223,33.16,2026-01-21
831,19298,33.76,2026-01-21
832,11083,18.21,2026-01-21
833,13553,43.99,2026-01-21
834,38022,37.83,2026-01-21
835,20968,20.54,2026-01-21
836,3074,33.03,2026-01-21
837,18983,45.37,2026-01-21
838,19159,33.41,2026-01-21
839,24606,15.43,2026-01-21
840,11050,37.62,2026-01-21
841,36282,21.05,2026-01-21
842,21974,24.84,2026-01-21
843,17626,48.37,2026-01-21
844,18704,49.13,2026-01-21
845,3336,29.83,2026-01-21
846,23687,48.43,2026-01-21
847,12213,51.31,2026-01-21
848,23570,29.29,2026-01-21
849,36295,24.56,2026-01-21
850,35531,22.79,2026-01-21
851,14831,17.94,2026-01-21
852,17595,11.03,2026-01-21
853,28227,30.76,2026-01-21
854,2544,33.41,2026-01-21
855,17845,27.48,2026-01-21
856,23376,47.80,2026-01-21
857,32581,42.63,2026-01-21
858,33364,24.84,2026-01-21
859,3978,38.28,2026-01-21
860,21670,17.67,2026-01-21
861,35212,32.50,2026-01-21
862,14165,20.36,2026-01-21
863,27054,20.72,2026-01-21
864,18164,18.77,2026-01-21
865,19898,25.14,2026-01-21
866,19422,49.28,2026-01-21
867,28606,26.44,2026-01-21
868,8621,17.26,2026-01-21
869,16659,23.26,2026-01-21
870,8045,23.29,2026-01-21
871,27768,49.67,2026-01-21
872,18342,23.24,2026-01-21
873,5861,47.36,2026-01-21
